[2023-02-02T09:40:59.975] [info] non-service runs
[2023-02-02T09:40:59.989] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:07.887] [info] non-service runs
[2023-02-02T09:41:07.899] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:20.365] [info] non-service runs
[2023-02-02T09:41:20.378] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:34.917] [info] non-service runs
[2023-02-02T09:41:34.929] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T10:02:53.538] [info] 2023-02-02 10:02:53.538439 +0800 CST m=+108.178221001
[2023-02-02T10:02:53.606] [info] 2023-02-02 10:02:53.606719 +0800 CST m=+108.246501001
[2023-02-02T10:03:02.483] [info] 2023-02-02 10:03:02.4837679 +0800 CST m=+117.123549901
[2023-02-02T10:03:02.508] [info] 2023-02-02 10:03:02.5081955 +0800 CST m=+117.147977501
[2023-02-02T10:05:28.414] [info] 2023-02-02 10:05:28.4144632 +0800 CST m=+263.054245201
[2023-02-02T10:05:28.440] [info] 2023-02-02 10:05:28.4409183 +0800 CST m=+263.080700301
[2023-02-02T10:05:34.036] [info] 2023-02-02 10:05:34.0364039 +0800 CST m=+268.676185901
[2023-02-02T10:05:34.071] [info] 2023-02-02 10:05:34.0718114 +0800 CST m=+268.711593401
[2023-02-02T10:05:35.994] [info] 2023-02-02 10:05:35.9940561 +0800 CST m=+270.633838101
[2023-02-02T10:05:36.020] [info] 2023-02-02 10:05:36.0203267 +0800 CST m=+270.660108701
[2023-02-02T10:05:36.614] [info] 2023-02-02 10:05:36.6146224 +0800 CST m=+271.254404401
[2023-02-02T10:05:36.636] [info] 2023-02-02 10:05:36.6367523 +0800 CST m=+271.276534301
[2023-02-02T10:05:41.299] [info] 2023-02-02 10:05:41.2994907 +0800 CST m=+275.939272701
[2023-02-02T10:05:41.326] [info] 2023-02-02 10:05:41.3265557 +0800 CST m=+275.966337701
[2023-02-02T10:12:37.897] [info] non-service runs
[2023-02-02T10:12:37.908] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T10:12:44.140] [info] 127.0.0.1:55637
[2023-02-02T10:12:44.195] [info] 127.0.0.1:55637
[2023-02-02T10:12:44.780] [info] 127.0.0.1:55637
[2023-02-02T10:12:44.813] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.058] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.086] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.307] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.333] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.654] [info] 127.0.0.1:55637
[2023-02-02T10:12:45.680] [info] 127.0.0.1:55637
[2023-02-02T10:12:56.756] [info] 127.0.0.1:55637
[2023-02-02T10:12:56.785] [info] 127.0.0.1:55637
[2023-02-02T10:13:03.835] [info] 127.0.0.1:55637
[2023-02-02T10:13:03.892] [info] 127.0.0.1:55637
